query,assignmentId,imageURL,Relevance,clusterNo
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/19.jpg,2,2
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/20.jpg,2,2
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/21.jpg,2,3
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/22.jpg,2,3
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/23.jpg,2,1
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/24.jpg,1,1
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/25.jpg,2,2
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/26.jpg,2,3
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/27.jpg,2,1
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/28.jpg,2,2
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/29.jpg,2,1
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/30.jpg,1,2
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/31.jpg,2,1
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/32.jpg,2,1
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/33.jpg,2,1
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/34.jpg,2,2
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/35.jpg,2,1
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/36.jpg,2,1
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/37.jpg,2,3
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/38.jpg,2,1
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/39.jpg,2,1
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/40.jpg,2,1
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/41.jpg,2,1
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/42.jpg,2,3
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/43.jpg,2,3
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/44.jpg,2,3
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/45.jpg,2,3
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/46.jpg,2,4
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/47.jpg,2,3
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/48.jpg,2,1
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/49.jpg,2,5
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/50.jpg,2,1
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/51.jpg,2,2
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/52.jpg,2,1
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/53.jpg,2,1
bebe rexha,3UWN2HHPUZCGLHB6MKLQJT6QARXSN9,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/54.jpg,2,2
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/55.jpg,2,3
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/56.jpg,2,2
bebe rexha,3UNH76FOCTC7ZL2F9PYFO05RMMHYMR,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/57.jpg,3,3
bebe rexha,3UNH76FOCTC7ZL2F9PYFO05RMMHYMR,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/58.jpg,3,3
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/59.jpg,2,5
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/60.jpg,2,2
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/61.jpg,2,2
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/62.jpg,2,3
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/63.jpg,2,1
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/64.jpg,2,5
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/65.jpg,2,1
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/66.jpg,2,5
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/67.jpg,2,5
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/68.jpg,2,5
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/69.jpg,2,3
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/70.jpg,2,2
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/71.jpg,2,1
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/72.jpg,2,1
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/73.jpg,2,3
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/74.jpg,2,3
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/75.jpg,2,3
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/76.jpg,2,1
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/77.jpg,2,3
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/78.jpg,2,5
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/79.jpg,2,3
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/80.jpg,2,2
bebe rexha,3UWN2HHPUZCGLHB6MKLQJT6QARXSN9,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/81.jpg,1,2
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/82.jpg,2,3
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/83.jpg,2,5
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/84.jpg,2,3
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/85.jpg,2,3
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/86.jpg,2,3
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/87.jpg,2,1
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/88.jpg,2,1
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/89.jpg,2,2
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/90.jpg,2,2
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/91.jpg,2,3
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/92.jpg,2,2
bebe rexha,3UNH76FOCTC7ZL2F9PYFO05RMMHYMR,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/93.jpg,3,4
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/94.jpg,2,2
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/95.jpg,2,1
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/96.jpg,2,6
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/97.jpg,2,2
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/98.jpg,2,6
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/99.jpg,2,1
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/100.jpg,2,3
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/101.jpg,2,2
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/102.jpg,2,6
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/103.jpg,2,3
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/104.jpg,2,1
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/105.jpg,2,2
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/106.jpg,2,7
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/107.jpg,2,2
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/108.jpg,2,2
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/109.jpg,2,1
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/110.jpg,2,1
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/111.jpg,2,7
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/112.jpg,2,2
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/113.jpg,2,2
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/114.jpg,2,1
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/115.jpg,2,2
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/116.jpg,2,1
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/117.jpg,2,7
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/118.jpg,2,3
bebe rexha,3UNH76FOCTC7ZL2F9PYFO05RMMHYMR,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/119.jpg,3,4
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/120.jpg,2,2
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/121.jpg,2,2
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/122.jpg,3,2
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/123.jpg,2,9
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/124.jpg,3,2
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/125.jpg,2,9
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/126.jpg,2,8
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/127.jpg,2,8
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/128.jpg,2,8
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/129.jpg,2,8
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/130.jpg,2,1
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/131.jpg,2,1
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/132.jpg,2,1
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/133.jpg,2,2
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/134.jpg,2,2
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/135.jpg,2,3
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/136.jpg,2,1
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/137.jpg,2,3
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/138.jpg,2,9
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/139.jpg,2,2
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/140.jpg,2,2
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/141.jpg,2,9
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/142.jpg,2,2
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/143.jpg,2,9
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/144.jpg,2,2
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/145.jpg,2,10
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/146.jpg,2,2
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/147.jpg,2,1
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/148.jpg,2,3
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/149.jpg,2,2
bebe rexha,36NEMU28XGK3AG7FUOGR33KBBEHWMQ,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/150.jpg,2,9
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/151.jpg,2,1
bebe rexha,34V1S5K3GT8Q9H9FEXZI0NFENNL96R,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/152.jpg,2,2
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/153.jpg,2,3
bebe rexha,3UNH76FOCTC7ZL2F9PYFO05RMMHYMR,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/154.jpg,3,4
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/155.jpg,2,2
bebe rexha,3U4J9857OFIS1A2HVRI6X7A06O5B7F,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/156.jpg,2,2
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/157.jpg,2,1
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/158.jpg,2,1
bebe rexha,358010RM5F01P36EILD4SIHVB90XV2,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/159.jpg,2,1
bebe rexha,3UWN2HHPUZCGLHB6MKLQJT6QARXSN9,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/160.jpg,2,2
bebe rexha,3UWN2HHPUZCGLHB6MKLQJT6QARXSN9,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bebe rexha/161.jpg,2,2
bodybuilding transformation,3V5Q80FXIYYGCE1YAMM5JXVG7VZ23M,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bodybuilding transformation/59.jpg,0,0
bodybuilding transformation,3T3IWE1XG7U23E1DRCIXXSXHH0JQTY,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bodybuilding transformation/1.jpg,3,1
bodybuilding transformation,336YQZE83WL9XXSVYNTID37YRW0M5G,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bodybuilding transformation/2.jpg,2,1
bodybuilding transformation,336YQZE83WL9XXSVYNTID37YRW0M5G,https://data.vision.ee.ethz.ch/arunv/AMT_VideoFrames/bodybuilding transformation/3.jpg,2,1
